01	00	北京
01	00	02	海淀
01	00	03	朝阳
01	00	13	密云
01	00	01	北京
01	00	06	通州
01	00	07	昌平
01	00	04	顺义
01	00	05	怀柔
01	00	08	延庆
01	00	09	丰台
01	00	12	房山
01	00	14	门头沟
01	00	11	大兴
01	00	15	平谷
01	00	10	石景山
02	00	上海
02	00	02	闵行
02	00	03	宝山
02	00	13	浦东
02	00	01	上海
02	00	06	南汇
02	00	07	金山
02	00	05	嘉定
02	00	08	青浦
02	00	09	松江
02	00	12	徐家汇
02	00	11	崇明
02	00	10	奉贤
03	00	天津
03	00	02	武清
03	00	03	宝坻
03	00	01	天津
03	00	06	北辰
03	00	07	宁河
03	00	04	东丽
03	00	05	西青
03	00	08	汉沽
03	00	09	静海
03	00	12	大港
03	00	14	蓟县
03	00	11	塘沽
03	00	10	津南
04	00	重庆
04	00	30	丰都
04	00	02	永川
04	00	03	合川
04	00	26	大足
04	00	01	重庆
04	00	06	万盛
04	00	07	渝北
04	00	04	南川
04	00	05	江津
04	00	08	北碚
04	00	09	巴南
04	00	28	铜梁
04	00	29	璧山
04	00	14	涪陵
04	00	24	忠县
04	00	25	石柱
04	00	27	荣昌
04	00	20	巫山
04	00	21	潼南
04	00	11	黔江
04	00	10	长寿
04	00	13	万州
04	00	15	开县
04	00	22	垫江
04	00	17	云阳
04	00	16	城口
04	00	19	奉节
04	00	18	巫溪
04	00	31	武隆
04	00	23	梁平
04	00	36	秀山
04	00	34	酉阳
04	00	33	綦江
04	00	32	彭水
05	02	齐齐哈尔
05	02	02	讷河
05	02	03	龙江
05	02	01	齐齐哈尔
05	02	06	依安
05	02	07	拜泉
05	02	04	甘南
05	02	05	富裕
05	02	08	克山
05	02	09	克东
05	02	10	泰来
05	03	牡丹江
05	03	02	海林
05	03	03	穆棱
05	03	01	牡丹江
05	03	06	宁安
05	03	07	东宁
05	03	04	林口
05	03	05	绥芬河
05	13	双鸭山
05	13	02	集贤
05	13	03	宝清
05	13	01	双鸭山
05	13	04	饶河
05	13	05	友谊
05	01	哈尔滨
05	01	02	双城
05	01	03	呼兰
05	01	13	木兰
05	01	01	哈尔滨
05	01	06	依兰
05	01	07	巴彦
05	01	04	阿城
05	01	05	宾县
05	01	08	通河
05	01	09	方正
05	01	12	五常
05	01	11	尚志
05	01	10	延寿
05	06	黑河
05	06	02	嫩江
05	06	03	孙吴
05	06	01	黑河
05	06	06	北安
05	06	04	逊克
05	06	05	五大连池
05	07	大兴安岭
05	07	02	塔河
05	07	03	漠河
05	07	01	大兴安岭
05	07	06	新林
05	07	04	呼玛
05	07	05	呼中
05	07	08	加格达奇
05	04	佳木斯
05	04	02	汤原
05	04	03	抚远
05	04	01	佳木斯
05	04	06	同江
05	04	07	富锦
05	04	04	桦川
05	04	05	桦南
05	05	绥化
05	05	02	肇东
05	05	03	安达
05	05	01	绥化
